No,image_id,stim_id,text,voice,voice_id,image,sentence,audio,session,filename,No_raw,audio_raw,filename_raw,image_id_raw,image_raw,sentence_raw,session_raw,stim_id_raw,text_raw,thisN_raw,thisRepN_raw,thisTrialN_raw,voice_id_raw,voice_raw
expStart,2025-03-22 12h14.43.337065 +0530
﻿No,image_id,stim_id,text,voice,voice_id,image,sentence,audio,session,filename,No_raw,audio_raw,filename_raw,image_id_raw,image_raw,sentence_raw,session_raw,stim_id_raw,text_raw,thisN_raw,thisRepN_raw,thisTrialN_raw,voice_id_raw,voice_raw
9,IMG_09,STIM_09,The boy filled the tub.,active,IMG_09_A,exp_images/images/boy_filled_tub.jpg,exp_images/sentences/Bucket.jpg,exp_images/audio/bucket.wav,voice,Active_List_1,10,exp_images/audio/closed_door.wav,Active_List_1,IMG_10,exp_images/images/boy_opened_door.jpg,exp_images/sentences/Closed-door.jpg,voice,STIM_10,The boy closed the door.,0,0,0,IMG_10_A,active
10,IMG_10,STIM_10,The boy closed the door.,active,IMG_10_A,exp_images/images/boy_opened_door.jpg,exp_images/sentences/Closed-door.jpg,exp_images/audio/closed_door.wav,voice,Active_List_1,9,exp_images/audio/bucket.wav,Active_List_1,IMG_09,exp_images/images/boy_filled_tub.jpg,exp_images/sentences/Bucket.jpg,voice,STIM_09,The boy filled the tub.,1,0,1,IMG_09_A,active

extraInfo
ID,12
participant,p1
Age,
22
Gender,Male
Dominant Eye,Right
Dominant Hand,Right
session,PUN
EDF Filename,edf01
date,2025-03-22_12h30.29.774
expName,PunjabiActivePassive
psychopyVersion,2024.2.2
frameRate,144.02912849836704
expStart,2025-03-22 12h30.50.527852 +0530
﻿No,image_id,stim_id,text,voice,voice_id,image,sentence,audio,session,filename,No_raw,audio_raw,filename_raw,image_id_raw,image_raw,sentence_raw,session_raw,stim_id_raw,text_raw,thisN_raw,thisRepN_raw,thisTrialN_raw,voice_id_raw,voice_raw
17,IMG_01,STIM_17,P The girl lit the lamp.,passive,IMG_01_P,exp_images/images/girl_lighted_lamp.jpg,exp_images/sentences/Lamp-passive.jpg,exp_images/audio/p_lamp.wav,voice,Passive_List_1,18,exp_images/audio/p_window.wav,Passive_List_1,IMG_02,exp_images/images/girl_opened_window.jpg,exp_images/sentences/Window-passive.jpg,voice,STIM_18,P The girl opened the window.,0,0,0,IMG_02_P,passive
18,IMG_02,STIM_18,P The girl opened the window.,passive,IMG_02_P,exp_images/images/girl_opened_window.jpg,exp_images/sentences/Window-passive.jpg,exp_images/audio/p_window.wav,voice,Passive_List_1,17,exp_images/audio/p_lamp.wav,Passive_List_1,IMG_01,exp_images/images/girl_lighted_lamp.jpg,exp_images/sentences/Lamp-passive.jpg,voice,STIM_17,P The girl lit the lamp.,1,0,1,IMG_01_P,passive

extraInfo
ID,12
participant,p1
Age,
22
Gender,Male
Dominant Eye,Right
Dominant Hand,Right
session,PUN
EDF Filename,edf01
date,2025-03-22_12h30.29.774
expName,PunjabiActivePassive
psychopyVersion,2024.2.2
frameRate,144.02912849836704
expStart,2025-03-22 12h30.50.527852 +0530
﻿No,image_id,stim_id,text,voice,voice_id,image,sentence,audio,session,filename,No_raw,audio_raw,filename_raw,image_id_raw,image_raw,sentence_raw,session_raw,stim_id_raw,text_raw,thisN_raw,thisRepN_raw,thisTrialN_raw,voice_id_raw,voice_raw
9,IMG_09,STIM_09,The boy filled the tub.,active,IMG_09_A,exp_images/images/boy_filled_tub.jpg,exp_images/sentences/Bucket.jpg,exp_images/audio/bucket.wav,voice,Active_List_1,10,exp_images/audio/closed_door.wav,Active_List_1,IMG_10,exp_images/images/boy_opened_door.jpg,exp_images/sentences/Closed-door.jpg,voice,STIM_10,The boy closed the door.,0,0,0,IMG_10_A,active
10,IMG_10,STIM_10,The boy closed the door.,active,IMG_10_A,exp_images/images/boy_opened_door.jpg,exp_images/sentences/Closed-door.jpg,exp_images/audio/closed_door.wav,voice,Active_List_1,9,exp_images/audio/bucket.wav,Active_List_1,IMG_09,exp_images/images/boy_filled_tub.jpg,exp_images/sentences/Bucket.jpg,voice,STIM_09,The boy filled the tub.,1,0,1,IMG_09_A,active

extraInfo
ID,12
participant,p3
Age,
22
Gender,Male
Dominant Eye,Right
Dominant Hand,Right
session,PUN
EDF Filename,edf2
date,2025-03-22_13h50.18.780
expName,PunjabiActivePassive
psychopyVersion,2024.2.2
frameRate,144.04717833557842
expStart,2025-03-22 13h50.35.269734 +0530
